R0000100,CASEID,IDENTIFICATION CODE,1979
R0173600,SAMPLE_ID,SAMPLE IDENTIFICATION CODE,1979
R0214700,SAMPLE_RACE,R'S RACIAL/ETHNIC COHORT FROM SCREENER,78SCRN
R0214800,SAMPLE_SEX,SEX OF R,1979
T0897400,Q11-10_A,R HEIGHT IN FEET,2006
T0897500,Q11-10_B,R HEIGHT IN INCHES,2006
T2053900,Q11-10_A,R HEIGHT IN FEET,2008
T2054000,Q11-10_B,R HEIGHT IN INCHES,2008
T3024800,Q11-10_A,R HEIGHT IN FEET,2010
T3024900,Q11-10_B,R HEIGHT IN INCHES,2010
T3955100,Q11-10_A,R HEIGHT IN FEET,2012
T3955200,Q11-10_B,R HEIGHT IN INCHES,2012
T4892800,Q11-10_A,R HEIGHT IN FEET,2014
T4892900,Q11-10_B,R HEIGHT IN INCHES,2014
